START,2023-09-15,14:03:35
START,2023-09-15,14:04:44
START,2023-09-15,14:04:44
STOP,2023-09-15,14:04:56
START,2023-09-15,14:05:11
START,2023-09-15,14:05:11
STOP,2023-09-15,14:05:20
START,2023-09-15,12:05:36
STOP,2023-09-15,12:46:37
START,2023-09-15,14:58:59
START,2023-09-15,14:59:00
STOP,2023-09-15,15:00:48
STOP,2023-09-15,15:00:48
START,2023-09-15,15:03:57
START,2023-09-15,15:03:58
STOP,2023-09-15,15:09:57
STOP,2023-09-15,15:09:57
START,2023-09-15,15:11:24
START,2023-09-15,15:11:25
STOP,2023-09-15,15:11:49
STOP,2023-09-15,15:11:49
START,2023-09-15,15:20:31
START,2023-09-15,15:20:32
STOP,2023-09-15,15:31:47
STOP,2023-09-15,15:31:47
START,2023-09-15,15:32:28
START,2023-09-15,15:32:28
STOP,2023-09-15,15:32:48
STOP,2023-09-15,15:32:48
START,2023-09-15,15:33:35
START,2023-09-15,15:33:37
STOP,2023-09-15,15:33:53
STOP,2023-09-15,15:33:54
START,2023-09-15,15:34:09
START,2023-09-15,15:34:11
START,2023-09-15,15:36:44
START,2023-09-15,15:36:44
STOP,2023-09-15,15:36:54
START,2023-09-15,15:37:59
START,2023-09-15,15:37:59
STOP,2023-09-15,15:38:14
STOP,2023-09-15,15:38:14
